Номинальный ток;EHP_EL_NOM_CUR;Розетка
Количество;EHP_QUANTITY;Розетка
Наличие защитного контакта;EHP_EUI_PE;Розетка
Длина;EHP_LENGTH;Розетка
Ширина;EHP_WIDTH;Розетка
Высота;EHP_HEIGHT;Розетка
Специализация;EHP_SPECIALITY;Кабельный_лоток
Тип элемента;EHP_TYPE;Кабельный_лоток
Тип группы;EHP_ASSMBLY_TYPE;Кабельный_лоток
Марка группы;EHP_ASMBLY_MARK;Кабельный_лоток
Наименование;EHP_NAME;Кабельный_лоток
Обозначение;EHP_TAG;Кабельный_лоток
Производитель;EHP_MANUFACTURER;Кабельный_лоток
Артикул производителя;EHP_REFERENCE;Кабельный_лоток
Класс материала;EHP_M_CLASS;Кабельный_лоток
Масса;EHP_WEIGHT;Кабельный_лоток
Длина секции;EHP_MLENGTH;Кабельный_лоток
Длина;EHP_LENGTH;Кабельный_лоток
Ширина;EHP_WIDTH;Кабельный_лоток
Высота;EHP_HEIGHT;Кабельный_лоток
Толщина;EHP_THICKNESS;Кабельный_лоток
Специализация;EHP_SPECIALITY;Крышка_кабельного_лотка
Тип элемента;EHP_TYPE;Крышка_кабельного_лотка
Тип группы;EHP_ASSMBLY_TYPE;Крышка_кабельного_лотка
Марка группы;EHP_ASMBLY_MARK;Крышка_кабельного_лотка
Наименование;EHP_NAME;Крышка_кабельного_лотка
Обозначение;EHP_TAG;Крышка_кабельного_лотка
Производитель;EHP_MANUFACTURER;Крышка_кабельного_лотка
Артикул производителя;EHP_REFERENCE;Крышка_кабельного_лотка
Класс материала;EHP_M_CLASS;Крышка_кабельного_лотка
Масса;EHP_WEIGHT;Крышка_кабельного_лотка
Длина секции;EHP_MLENGTH;Крышка_кабельного_лотка
Длина;EHP_LENGTH;Крышка_кабельного_лотка
Ширина;EHP_WIDTH;Крышка_кабельного_лотка
Высота;EHP_HEIGHT;Крышка_кабельного_лотка
Толщина;EHP_THICKNESS;Крышка_кабельного_лотка
Специализация;EHP_SPECIALITY;Аксессуар_для_кабельного_лотка
Тип элемента;EHP_TYPE;Аксессуар_для_кабельного_лотка
Тип группы;EHP_ASSMBLY_TYPE;Аксессуар_для_кабельного_лотка
Марка группы;EHP_ASMBLY_MARK;Аксессуар_для_кабельного_лотка
Наименование;EHP_NAME;Аксессуар_для_кабельного_лотка
Обозначение;EHP_TAG;Аксессуар_для_кабельного_лотка
Производитель;EHP_MANUFACTURER;Аксессуар_для_кабельного_лотка
Артикул производителя;EHP_REFERENCE;Аксессуар_для_кабельного_лотка
Класс материала;EHP_M_CLASS;Аксессуар_для_кабельного_лотка
Масса;EHP_WEIGHT;Аксессуар_для_кабельного_лотка
Длина;EHP_LENGTH;Аксессуар_для_кабельного_лотка
Ширина;EHP_WIDTH;Аксессуар_для_кабельного_лотка
Высота;EHP_HEIGHT;Аксессуар_для_кабельного_лотка
Толщина;EHP_THICKNESS;Аксессуар_для_кабельного_лотка
Специализация;EHP_SPECIALITY;Крышка_аксессуара_кабельного_лотка
Тип элемента;EHP_TYPE;Крышка_аксессуара_кабельного_лотка
Тип группы;EHP_ASSMBLY_TYPE;Крышка_аксессуара_кабельного_лотка
Марка группы;EHP_ASMBLY_MARK;Крышка_аксессуара_кабельного_лотка
Наименование;EHP_NAME;Крышка_аксессуара_кабельного_лотка
Обозначение;EHP_TAG;Крышка_аксессуара_кабельного_лотка
Производитель;EHP_MANUFACTURER;Крышка_аксессуара_кабельного_лотка
Артикул производителя;EHP_REFERENCE;Крышка_аксессуара_кабельного_лотка
Класс материала;EHP_M_CLASS;Крышка_аксессуара_кабельного_лотка
Масса;EHP_WEIGHT;Крышка_аксессуара_кабельного_лотка
Длина;EHP_LENGTH;Крышка_аксессуара_кабельного_лотка
Ширина;EHP_WIDTH;Крышка_аксессуара_кабельного_лотка
Высота;EHP_HEIGHT;Крышка_аксессуара_кабельного_лотка
Толщина;EHP_THICKNESS;Крышка_аксессуара_кабельного_лотка
Специализация;EHP_SPECIALITY;Разделительная_перегородка
Тип элемента;EHP_TYPE;Разделительная_перегородка
Тип группы;EHP_ASSMBLY_TYPE;Разделительная_перегородка
Марка группы;EHP_ASMBLY_MARK;Разделительная_перегородка
Наименование;EHP_NAME;Разделительная_перегородка
Обозначение;EHP_TAG;Разделительная_перегородка
Производитель;EHP_MANUFACTURER;Разделительная_перегородка
Артикул производителя;EHP_REFERENCE;Разделительная_перегородка
Класс материала;EHP_M_CLASS;Разделительная_перегородка
Масса;EHP_WEIGHT;Разделительная_перегородка
Длина;EHP_LENGTH;Разделительная_перегородка
Ширина;EHP_WIDTH;Разделительная_перегородка
Высота;EHP_HEIGHT;Разделительная_перегородка
Специализация;EHP_SPECIALITY;Стойка
Тип элемента;EHP_TYPE;Стойка
Тип группы;EHP_ASSMBLY_TYPE;Стойка
Марка группы;EHP_ASMBLY_MARK;Стойка
Наименование;EHP_NAME;Стойка
Обозначение;EHP_TAG;Стойка
Производитель;EHP_MANUFACTURER;Стойка
Артикул производителя;EHP_REFERENCE;Стойка
Класс материала;EHP_M_CLASS;Стойка
Масса;EHP_WEIGHT;Стойка
Длина;EHP_LENGTH;Стойка
Специализация;EHP_SPECIALITY;Кронштейн
Тип элемента;EHP_TYPE;Кронштейн
Тип группы;EHP_ASSMBLY_TYPE;Кронштейн
Марка группы;EHP_ASMBLY_MARK;Кронштейн
Наименование;EHP_NAME;Кронштейн
Обозначение;EHP_TAG;Кронштейн
Производитель;EHP_MANUFACTURER;Кронштейн
Артикул производителя;EHP_REFERENCE;Кронштейн
Класс материала;EHP_M_CLASS;Кронштейн
Масса;EHP_WEIGHT;Кронштейн
Длина;EHP_LENGTH;Кронштейн
Специализация;EHP_SPECIALITY;Шпилька
Тип элемента;EHP_TYPE;Шпилька
Тип группы;EHP_ASSMBLY_TYPE;Шпилька
Марка группы;EHP_ASMBLY_MARK;Шпилька
Наименование;EHP_NAME;Шпилька
Обозначение;EHP_TAG;Шпилька
Производитель;EHP_MANUFACTURER;Шпилька
Артикул производителя;EHP_REFERENCE;Шпилька
Класс материала;EHP_M_CLASS;Шпилька
Масса;EHP_WEIGHT;Шпилька
Длина секции;EHP_MLENGTH;Шпилька
Диаметр;EHP_DIAM;Шпилька
Длина;EHP_LENGTH;Шпилька
Специализация;EHP_SPECIALITY;Профиль
Тип элемента;EHP_TYPE;Профиль
Тип группы;EHP_ASSMBLY_TYPE;Профиль
Марка группы;EHP_ASMBLY_MARK;Профиль
Наименование;EHP_NAME;Профиль
Обозначение;EHP_TAG;Профиль
Производитель;EHP_MANUFACTURER;Профиль
Артикул производителя;EHP_REFERENCE;Профиль
Класс материала;EHP_M_CLASS;Профиль
